Identificador,Tipo_de_subasta,Cuenta_expediente,Fecha_de_inicio,Fecha_de_conclusión,Cantidad_reclamda,Lotes,Anuncio_BOE,Valor_subasta,Tasación,Puja_mínima,Tramos_entre_pujas,Importe_del_depósito,id,Juzgado,Localidad
SUB-JA-2022-204164,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0163 21,17-11-2022,07-12-2022,"61.749,68 ",Sin lotes,BOE-B-2022-35260,"103.600,00 ","0,00 ",Sin puja mínima,"2.072,00 ","5.180,00 ",40,JUZGADO 1ª INSTANCIA 100 , madrid
SUB-JA-2022-197884,JUDICIAL EN VÍA DE APREMIO,3961 0000 06 0931 15,17-11-2022,07-12-2022,"65.578,01 ",Sin lotes,BOE-B-2022-35242,"120.100,00 ","0,00 ",Sin puja mínima,"2.402,00 ","6.005,00 ",41,JUZGADO 1ª INST E INSTRUCC. 1 , coria del rio
SUB-JA-2022-204142,JUDICIAL EN VÍA DE APREMIO,0224 0000 06 0872 12,17-11-2022,07-12-2022,"272.622,07 ",Sin lotes,BOE-B-2022-35230,"550.569,67 ","0,00 ",Sin puja mínima,"11.011,39 ","27.528,48 ",42,JUZGADO 1ª INSTANCIA 2 , almeria
SUB-JA-2022-203179,JUDICIAL EN VÍA DE APREMIO,0223 0000 06 1910 21,17-11-2022,07-12-2022,"73.990,19 ",Sin lotes,BOE-B-2022-35228,"141.320,00 ","0,00 ",Sin puja mínima,"2.826,40 ","7.066,00 ",44,JUZGADO 1ª INSTANCIA 1 , almeria
SUB-JA-2022-204136,JUDICIAL EN VÍA DE APREMIO,3832 0000 01 0657 15,17-11-2022,07-12-2022,"230.998,53 ",Sin lotes,BOE-B-2022-35246,"256.950,00 ","256.950,00 ",Sin puja mínima,Sin tramos,"12.847,50 ",45,JUZGADO 1ª INST E INSTRUCC. 8 , el vendrell
SUB-JA-2022-202350,JUDICIAL EN VÍA DE APREMIO,1291 0000 05 0082 15,17-11-2022,07-12-2022,"123.164,36 ",Sin lotes,BOE-B-2022-35276,"219.567,76 ","0,00 ",Sin puja mínima,"4.391,35 ","10.978,38 ",46,JUZGADO 1ª INST E INSTRUCC. 2 , sanlucar barrameda
SUB-JA-2022-204132,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0168 21,17-11-2022,07-12-2022,"83.205,76 ",Sin lotes,BOE-B-2022-35261,"351.319,25 ","0,00 ","200,00 €","7.026,38 ","17.565,96 ",48,JUZGADO 1ª INSTANCIA 31 , madrid
SUB-JA-2022-201646,JUDICIAL EN VÍA DE APREMIO,0864 0000 06 0198 12,17-11-2022,07-12-2022,"214.689,90 ",Sin lotes,BOE-B-2022-35273,"366.993,75 ","0,00 ",Sin puja mínima,"7.339,87 ","18.349,68 ",50,JUZGADO 1ª INST E INSTRUCC. 4 , rubi
SUB-JA-2022-204105,JUDICIAL EN VÍA DE APREMIO,3546 0000 05 0393 19,17-11-2022,07-12-2022,"169.247,45 ",Sin lotes,BOE-B-2022-35254,"231.184,59 ","0,00 ",Sin puja mínima,"4.623,69 ","11.559,22 ",51,JUZGADO 1ª INSTANCIA 12 , las palmas de gran canaria
SUB-JA-2022-200418,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0106 20,15-11-2022,05-12-2022,"160.295,16 ",Sin lotes,BOE-B-2022-35066,"211.000,00 ","0,00 ",Sin puja mínima,"4.220,00 ","10.550,00 ",54,JUZGADO 1ª INSTANCIA 100 , madrid
SUB-JA-2022-194158,JUDICIAL EN VÍA DE APREMIO,2193 0000 06 0315 20,15-11-2022,05-12-2022,"67.903,88 ",Sin lotes,BOE-B-2022-35063,"138.591,00 ","0,00 ",Sin puja mínima,"2.771,82 ","6.929,55 ",55,JUZGADO 1ª INSTANCIA 3 , lleida
SUB-JA-2022-202393,JUDICIAL EN VÍA DE APREMIO,0183 0000 06 0754 20,15-11-2022,05-12-2022,"49.526,42 ",Sin lotes,BOE-B-2022-35077,"117.032,91 ","0,00 ",Sin puja mínima,"2.340,66 ","5.851,65 ",56,JUZGADO 1ª INSTANCIA 2 , orihuela
SUB-JA-2022-204067,JUDICIAL EN VÍA DE APREMIO,1616 0000 06 0277 18,15-11-2022,05-12-2022,"43.308,50 ",Sin lotes,BOE-B-2022-35036,"97.597,50 ","97.597,50 ",Sin puja mínima,Sin tramos,"4.879,88 ",57,JUZGADO 1ª INST E INSTRUCC. 2 , cuenca
SUB-JA-2022-204029,JUDICIAL EN VÍA DE APREMIO,1780 0000 06 0489 21,15-11-2022,05-12-2022,"32.055,28 ",Sin lotes,BOE-B-2022-35016,"103.600,00 ","103.600,00 ","60.000,00 €","2.072,00 ","5.180,00 ",58,JUZGADO 1ª INST E INSTRUCC. 1 , almunecar
SUB-JA-2022-204004,JUDICIAL EN VÍA DE APREMIO,5096 0000 06 2110 11,15-11-2022,05-12-2022,"54.860,51 ",Sin lotes,BOE-B-2022-35015,"93.600,00 ","0,00 ",Sin puja mínima,"1.872,00 ","4.680,00 ",59,JUZGADO 1ª INSTANCIA 7 , almeria
SUB-JA-2022-202948,JUDICIAL EN VÍA DE APREMIO,0517 0000 06 0953 20,15-11-2022,05-12-2022,"179.130,94 ",Sin lotes,BOE-B-2022-35021,"270.821,30 ","0,00 ",Sin puja mínima,"5.416,42 ","13.541,06 ",61,JUZGADO 1ª INSTANCIA 1 , badalona
SUB-JA-2022-203918,JUDICIAL EN VÍA DE APREMIO,5049 0000 05 0118 21,15-11-2022,05-12-2022,"42.789,85 ",Sin lotes,BOE-B-2022-35114,"65.642,54 ","0,00 ",Sin puja mínima,"1.312,85 ","3.282,12 ",62,JUZGADO 1ª INST E INSTRUCC. 5 , tudela
SUB-JA-2022-202910,JUDICIAL EN VÍA DE APREMIO,2106 0000 06 0226 21,15-11-2022,05-12-2022,"151.206,57 ",Sin lotes,BOE-B-2022-35112,"235.239,20 ","0,00 ",Sin puja mínima,"4.704,78 ","11.761,96 ",63,JUZGADO 1ª INSTANCIA 4 , torrent
SUB-JA-2022-203898,JUDICIAL EN VÍA DE APREMIO,3286 0000 06 0305 21,15-11-2022,05-12-2022,"69.239,00 ",Sin lotes,BOE-B-2022-35048,"118.995,04 ","0,00 ",Sin puja mínima,"2.379,90 ","5.949,75 ",64,JUZGADO 1ª INSTANCIA 3 , gijon/xixon-gijon
SUB-JA-2022-194058,JUDICIAL EN VÍA DE APREMIO,0820 0000 05 0126 11,15-11-2022,05-12-2022,"142.148,15 ",Sin lotes,BOE-B-2022-35090,"273.505,33 ","0,00 ",Sin puja mínima,"5.470,10 ","13.675,26 ",65,JUZGADO 1ª INSTANCIA 6 , sabadell
SUB-JA-2022-203870,JUDICIAL EN VÍA DE APREMIO,0857 0000 06 0393 21,15-11-2022,05-12-2022,"60.052,16 ",Sin lotes,BOE-B-2022-35097,"202.200,00 ","0,00 ",Sin puja mínima,"4.044,00 ","10.110,00 ",66,JUZGADO 1ª INST E INSTRUCC. 3 , santa coloma gramenet
SUB-JA-2022-203858,JUDICIAL EN VÍA DE APREMIO,4238 0000 06 1788 16,15-11-2022,05-12-2022,"96.662,03 ",Sin lotes,BOE-B-2022-35042,"174.284,80 ","174.284,80 ",Sin puja mínima,Sin tramos,"8.714,24 ",68,JUZGADO 1ª INST E INSTRUCC. 2 , el vendrell
SUB-JA-2022-194052,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0100 15,15-11-2022,05-12-2022,"78.553,82 ",Sin lotes,BOE-B-2022-35067,"199.337,83 ","0,00 ",Sin puja mínima,Sin tramos,"9.966,89 ",69,JUZGADO 1ª INSTANCIA 32 , madrid
SUB-JA-2022-203845,JUDICIAL EN VÍA DE APREMIO,1913 0000 06 1756 21,15-11-2022,05-12-2022,"43.617,84 ",Sin lotes,BOE-B-2022-35052,"96.700,00 ","0,00 ",Sin puja mínima,"1.934,00 ","4.835,00 ",70,JUZGADO 1ª INSTANCIA 3 , huelva
SUB-JA-2022-203841,JUDICIAL EN VÍA DE APREMIO,3202 0000 06 0037 20,15-11-2022,05-12-2022,"116.057,65 ",Sin lotes,BOE-B-2022-35109,"221.762,00 ","0,00 ","2.000,00 €","4.435,24 ","11.088,10 ",71,JUZGADO 1ª INSTANCIA 3 , torrejon de ardoz
SUB-JA-2022-202881,JUDICIAL EN VÍA DE APREMIO,0097 0000 06 1474 20,15-11-2022,05-12-2022,"115.211,69 ",Sin lotes,BOE-B-2022-35013,"181.250,00 ","0,00 ",Sin puja mínima,"3.625,00 ","9.062,50 ",73,JUZGADO 1ª INSTANCIA 1 , alicante/alacant
SUB-JA-2022-203820,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0260 21,15-11-2022,05-12-2022,"47.389,16 ",Sin lotes,BOE-B-2022-35068,"245.183,98 ","0,00 ",Sin puja mínima,"4.903,67 ","12.259,19 ",74,JUZGADO 1ª INSTANCIA 100 , madrid
SUB-JA-2022-203818,JUDICIAL EN VÍA DE APREMIO,3814 0000 06 0277 19,15-11-2022,05-12-2022,"33.914,74 ",Sin lotes,BOE-B-2022-35020,"68.000,00 ","0,00 ",Sin puja mínima,"1.360,00 ","3.400,00 ",75,JUZGADO 1ª INSTANCIA 3 , arona
