0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SUB-JA-2022-204190,JUDICIAL EN VÍA DE APREMIO,1994 0000 05 0024 14,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"36.598,85 €",Sin lotes,BOE-B-2022-35267,"116.198,89 €","0,00 €",Sin puja mínima,"2.323,97 €","5.809,94 €",JUZGADO 1ª INST E INSTRUCC. 1 - MONZON,
SUB-JA-2022-203828,JUDICIAL EN VÍA DE APREMIO,5375 0000 06 0489 20,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"206.099,56 €",Sin lotes,BOE-B-2022-35278,"370.674,13 €","0,00 €",Sin puja mínima,"7.413,48 €","18.533,70 €",JUZGADO 1 INST E INSTRUCC. 4 - SANTA FE,
SUB-JA-2021-171012,JUDICIAL EN VÍA DE APREMIO,3728 3056 06 0198 12,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"369.921,91 €",3,Separada para cada lote,BOE-B-2022-35291,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA
SUB-JA-2022-195366,JUDICIAL EN VÍA DE APREMIO,0098 0000 06 1384 14,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"202.150,80 €",Sin lotes,BOE-B-2022-35227,"202.150,80 €","202.150,82 €",Sin puja mínima,"4.043,01 €","10.107,54 €",JUZGADO 1ª INSTANCIA 2 - ALICANTE/ALACANT,
SUB-JA-2022-200948,JUDICIAL EN VÍA DE APREMIO,3560 0000 06 0072 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"28.624,51 €",Sin lotes,BOE-B-2022-35238,"75.000,00 €","0,00 €",Sin puja mínima,"1.500,00 €","3.750,00 €",JUZGADO 1ª INST E INSTRUCC. 1 - CALDAS DE REIS,
SUB-JA-2022-201298,JUDICIAL EN VÍA DE APREMIO,3491 0000 05 0552 05,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"23.332,51 €",Sin lotes,BOE-B-2022-35255,"26.087,45 €","0,00 €",Sin puja mínima,"521,74 €","1.304,37 €",JUZGADO 1ª INSTANCIA 8 - LAS PALMAS DE GRAN CANARIA,
SUB-JA-2020-160362,JUDICIAL EN VÍA DE APREMIO,2028 0000 06 0625 13,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"96.471,59 €",Sin lotes,BOE-B-2022-35239,"119.070,00 €","119.070,00 €","83.349,00 €","2.381,40 €","5.953,50 €",JUZGADO 1ª INST E INSTRUCC. 1 - CAROLINA,
SUB-JA-2022-192946,JUDICIAL EN VÍA DE APREMIO,1352 0000 06 0824 12,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"391.637,85 €",2,Separada para cada lote,BOE-B-2022-35284,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),JUZGADO 1ª INST E INSTRUCC. 1 - VINAROS
SUB-JA-2022-203383,JUDICIAL EN VÍA DE APREMIO,5418 0000 06 0169 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"34.853,65 €",Sin lotes,BOE-B-2022-35253,"121.684,00 €","121.684,00 €","45.978,65 €","2.433,68 €","6.084,20 €",JUZGADO 1ª INSTANCIA 17 - LAS PALMAS DE GRAN CANARIA,
SUB-JA-2022-202111,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0043 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"105.622,00 €",Sin lotes,BOE-B-2022-35262,"243.750,00 €","0,00 €",Sin puja mínima,Sin tramos,"12.187,50 €",JUZGADO 1ª INSTANCIA 32 - MADRID,
