Municipios;Periodo;Total
42173 Soria;2019;10,7
42173 Soria;2018;7,3
42173 Soria;2017;5,9
42173 Soria;2016;-7,4
42173 Soria;2015;0,1
42173 Soria;2014;-8,8
43148 Tarragona;2020;-7,8
43148 Tarragona;2019;14,6
43148 Tarragona;2018;16,6
43148 Tarragona;2017;6,0
43148 Tarragona;2016;3,1
43148 Tarragona;2015;-1,2
43148 Tarragona;2014;-7,2
08279 Terrassa;2020;-2,8
08279 Terrassa;2019;13,8
08279 Terrassa;2018;9,2
08279 Terrassa;2017;9,7
08279 Terrassa;2016;6,1
08279 Terrassa;2015;-0,4
08279 Terrassa;2014;-1,4
44216 Teruel;2020;-6,8
44216 Teruel;2019;9,7
44216 Teruel;2018;5,6
44216 Teruel;2017;5,8
44216 Teruel;2016;-2,3
44216 Teruel;2015;-0,7
44216 Teruel;2014;-2,4
45168 Toledo;2020;-4,2
45168 Toledo;2019;11,0
45168 Toledo;2018;7,0
45168 Toledo;2017;6,4
45168 Toledo;2016;3,4
45168 Toledo;2015;2,8
45168 Toledo;2014;-1,3
29901 Torremolinos;2020;-16,2
29901 Torremolinos;2019;7,3
29901 Torremolinos;2018;5,8
29901 Torremolinos;2017;8,3
29901 Torremolinos;2016;-1,3
29901 Torremolinos;2015;4,3
29901 Torremolinos;2014;2,1
03133 Torrevieja;2020;-21,8
03133 Torrevieja;2019;15,8
03133 Torrevieja;2018;8,9
03133 Torrevieja;2017;-7,9
03133 Torrevieja;2016;-11,5
03133 Torrevieja;2015;-49,0
03133 Torrevieja;2014;-33,0
46250 València;2020;-13,2
46250 València;2019;7,4
46250 València;2018;3,6
46250 València;2017;4,6
46250 València;2016;-3,0
46250 València;2015;5,1
46250 València;2014;-0,3
47186 Valladolid;2020;-5,0
47186 Valladolid;2019;2,9
47186 Valladolid;2018;-1,5
47186 Valladolid;2017;-2,8
47186 Valladolid;2016;-7,2
47186 Valladolid;2015;-6,7
47186 Valladolid;2014;-9,6
36057 Vigo;2020;-9,7
36057 Vigo;2019;4,5
36057 Vigo;2018;5,8
36057 Vigo;2017;2,2
36057 Vigo;2016;0,6
36057 Vigo;2015;-4,4
36057 Vigo;2014;-3,1
01059 Vitoria-Gasteiz;2020;-3,6
01059 Vitoria-Gasteiz;2019;8,8
01059 Vitoria-Gasteiz;2018;10,4
01059 Vitoria-Gasteiz;2017;8,9
01059 Vitoria-Gasteiz;2016;9,5
01059 Vitoria-Gasteiz;2015;2,9
01059 Vitoria-Gasteiz;2014;7,6
49275 Zamora;2020;-11,4
49275 Zamora;2019;-6,8
49275 Zamora;2018;-6,8
49275 Zamora;2017;-9,0
49275 Zamora;2016;-13,2
49275 Zamora;2015;-9,7
49275 Zamora;2014;-9,2
50297 Zaragoza;2020;-9,7
50297 Zaragoza;2019;10,1
50297 Zaragoza;2018;12,1
50297 Zaragoza;2017;2,9
50297 Zaragoza;2016;5,8
50297 Zaragoza;2015;-5,8
50297 Zaragoza;2014;-1,7
