Provincias,Periodo,Total,ciudades2_id,comunidad_autonoma
 Lleida,2014,438.001,7,cataluña
 Lugo,2021,326.013,10,galicia
 Lugo,2020,327.946,10,galicia
 Lugo,2019,329.587,10,galicia
 Lugo,2018,331.327,10,galicia
 Lugo,2017,333.634,10,galicia
 Lugo,2016,336.527,10,galicia
 Lugo,2015,339.386,10,galicia
 Lugo,2014,342.748,10,galicia
 Madrid,2021,6.751.251,11,madrid
 Madrid,2020,6.779.888,11,madrid
 Madrid,2019,6.663.394,11,madrid
 Madrid,2018,6.578.079,11,madrid
 Madrid,2017,6.507.184,11,madrid
 Madrid,2016,6.466.996,11,madrid
 Madrid,2015,6.436.996,11,madrid
 Madrid,2014,6.454.440,11,madrid
 Málaga,2021,1.695.651,1,Andalucia
 Málaga,2020,1.685.920,1,Andalucia
 Málaga,2019,1.661.785,1,Andalucia
 Málaga,2018,1.641.121,1,Andalucia
 Málaga,2017,1.630.615,1,Andalucia
 Málaga,2016,1.629.298,1,Andalucia
 Málaga,2015,1.628.973,1,Andalucia
 Málaga,2014,1.621.968,1,Andalucia
 Murcia,2021,1.518.486,0,Unknown
 Murcia,2020,1.511.251,0,Unknown
 Murcia,2019,1.493.898,0,Unknown
 Murcia,2018,1.478.509,0,Unknown
 Murcia,2017,1.470.273,0,Unknown
 Murcia,2016,1.464.847,0,Unknown
 Murcia,2015,1.467.288,0,Unknown
 Murcia,2014,1.466.818,0,Unknown
 Navarra,2021,661.537,12,navarra
 Navarra,2020,661.197,12,navarra
 Navarra,2019,654.214,12,navarra
 Navarra,2018,647.554,12,navarra
 Navarra,2017,643.234,12,navarra
 Navarra,2016,640.647,12,navarra
 Navarra,2015,640.476,12,navarra
 Navarra,2014,640.790,12,navarra
 Ourense,2021,305.223,10,galicia
 Ourense,2020,306.650,10,galicia
 Ourense,2019,307.651,10,galicia
 Ourense,2018,309.293,10,galicia
 Ourense,2017,311.680,10,galicia
 Ourense,2016,314.853,10,galicia
 Ourense,2015,318.391,10,galicia
 Ourense,2014,322.293,10,galicia
 Palencia,2021,159.123,5,Castillayleon
 Palencia,2020,160.321,5,Castillayleon
 Palencia,2019,160.980,5,Castillayleon
 Palencia,2018,162.035,5,Castillayleon
 Palencia,2017,163.390,5,Castillayleon
 Palencia,2016,164.644,5,Castillayleon
 Palencia,2015,166.035,5,Castillayleon
 Palencia,2014,167.609,5,Castillayleon
" Palmas, Las",2021,1.128.539,0,Unknown
" Palmas, Las",2020,1.131.065,0,Unknown
" Palmas, Las",2019,1.120.406,0,Unknown
" Palmas, Las",2018,1.109.175,0,Unknown
" Palmas, Las",2017,1.100.480,0,Unknown
" Palmas, Las",2016,1.097.800,0,Unknown
" Palmas, Las",2015,1.098.406,0,Unknown
" Palmas, Las",2014,1.100.027,0,Unknown
 Pontevedra,2021,944.275,10,galicia
 Pontevedra,2020,945.408,10,galicia
 Pontevedra,2019,942.665,10,galicia
 Pontevedra,2018,941.772,10,galicia
 Pontevedra,2017,942.731,10,galicia
 Pontevedra,2016,944.346,10,galicia
 Pontevedra,2015,947.374,10,galicia
 Pontevedra,2014,950.919,10,galicia
" Rioja, La",2021,319.796,14,rioja
" Rioja, La",2020,319.914,14,rioja
" Rioja, La",2019,316.798,14,rioja
" Rioja, La",2018,315.675,14,rioja
" Rioja, La",2017,315.381,14,rioja
" Rioja, La",2016,315.794,14,rioja
" Rioja, La",2015,317.053,14,rioja
" Rioja, La",2014,319.002,14,rioja
 Salamanca,2021,327.338,5,Castillayleon
 Salamanca,2020,329.245,5,Castillayleon
 Salamanca,2019,330.119,5,Castillayleon
 Salamanca,2018,331.473,5,Castillayleon
 Salamanca,2017,333.603,5,Castillayleon
 Salamanca,2016,335.985,5,Castillayleon
 Salamanca,2015,339.395,5,Castillayleon
 Salamanca,2014,342.459,5,Castillayleon
 Santa Cruz de Tenerife,2021,1.044.405,0,Unknown
 Santa Cruz de Tenerife,2020,1.044.887,0,Unknown
 Santa Cruz de Tenerife,2019,1.032.983,0,Unknown
 Santa Cruz de Tenerife,2018,1.018.510,0,Unknown
 Santa Cruz de Tenerife,2017,1.007.641,0,Unknown
 Santa Cruz de Tenerife,2016,1.004.124,0,Unknown
 Santa Cruz de Tenerife,2015,1.001.900,0,Unknown
 Santa Cruz de Tenerife,2014,1.004.788,0,Unknown
 Segovia,2021,153.663,11,madrid
 Segovia,2020,153.478,11,madrid
 Segovia,2019,153.129,11,madrid
 Segovia,2018,153.342,11,madrid
 Segovia,2017,154.184,11,madrid
 Segovia,2016,155.652,11,madrid
 Segovia,2015,157.570,11,madrid
 Segovia,2014,159.303,11,madrid
 Sevilla,2021,1.947.852,1,Andalucia
 Sevilla,2020,1.950.219,1,Andalucia
 Sevilla,2019,1.942.389,1,Andalucia
 Sevilla,2018,1.939.887,1,Andalucia
 Sevilla,2017,1.939.527,1,Andalucia
 Sevilla,2016,1.939.775,1,Andalucia
 Sevilla,2015,1.941.480,1,Andalucia
 Sevilla,2014,1.941.355,1,Andalucia
 Soria,2021,88.747,5,Castillayleon
 Soria,2020,88.884,5,Castillayleon
 Soria,2019,88.636,5,Castillayleon
 Soria,2018,88.600,5,Castillayleon
 Soria,2017,88.903,5,Castillayleon
 Soria,2016,90.040,5,Castillayleon
 Soria,2015,91.006,5,Castillayleon
 Soria,2014,92.221,5,Castillayleon
 Tarragona,2021,822.309,7,cataluña
 Tarragona,2020,816.772,7,cataluña
 Tarragona,2019,804.664,7,cataluña
 Tarragona,2018,795.902,7,cataluña
 Tarragona,2017,791.693,7,cataluña
 Tarragona,2016,792.299,7,cataluña
 Tarragona,2015,795.101,7,cataluña
 Tarragona,2014,800.962,7,cataluña
 Teruel,2021,134.545,2,Aragon
 Teruel,2020,134.176,2,Aragon
 Teruel,2019,134.137,2,Aragon
 Teruel,2018,134.572,2,Aragon
 Teruel,2017,135.562,2,Aragon
 Teruel,2016,136.977,2,Aragon
 Teruel,2015,138.932,2,Aragon
 Teruel,2014,140.365,2,Aragon
 Toledo,2021,709.403,6,CastillalaMancha
 Toledo,2020,703.772,6,CastillalaMancha
 Toledo,2019,694.844,6,CastillalaMancha
 Toledo,2018,687.391,6,CastillalaMancha
 Toledo,2017,686.841,6,CastillalaMancha
 Toledo,2016,688.672,6,CastillalaMancha
 Toledo,2015,693.371,6,CastillalaMancha
 Toledo,2014,699.136,6,CastillalaMancha
 Valencia/València,2021,2.589.312,8,valencia
 Valencia/València,2020,2.591.875,8,valencia
 Valencia/València,2019,2.565.124,8,valencia
 Valencia/València,2018,2.547.986,8,valencia
 Valencia/València,2017,2.540.707,8,valencia
 Valencia/València,2016,2.544.264,8,valencia
 Valencia/València,2015,2.543.315,8,valencia
 Valencia/València,2014,2.548.898,8,valencia
 Valladolid,2021,519.361,5,Castillayleon
 Valladolid,2020,520.649,5,Castillayleon
 Valladolid,2019,519.546,5,Castillayleon
 Valladolid,2018,519.851,5,Castillayleon
 Valladolid,2017,521.130,5,Castillayleon
 Valladolid,2016,523.679,5,Castillayleon
 Valladolid,2015,526.288,5,Castillayleon
 Valladolid,2014,529.157,5,Castillayleon
 Zamora,2021,168.725,5,Castillayleon
 Zamora,2020,170.588,5,Castillayleon
 Zamora,2019,172.539,5,Castillayleon
